CODE_Mooban,หมู่ที่,หมู่บ้าน,CODE_TB,Tambon,CODE_AMP,Amphoe,CODE_CW,Changwat,AREA (Sq.m)
224060101,1,โรงเลื่อยจักร,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,1504096.366
224060102,2,เกาะขนุน,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,3043797.016
224060103,3,เกาะบุญนาค,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,5784837.023
224060104,4,หนองเสือ,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,7681891.689
224060105,5,แหลมตะคร้อ,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,11499273.5
224060106,6,นาน้อย,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2898668.703
224060107,7,ชายเคือง,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,15724282.95
224060108,8,ไร่ดอน,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,7146782.164
224060109,9,หนองปรือ,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,10612665.24
224060110,10,ห้วยพลู,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,9159345.855
224060111,11,หินดาษ,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,2054379.851
224060112,12,หนองอีโถน,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,10341778.24
224060113,13,ดอนขี้เหล็ก,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,6121038.483
224060114,14,หนองบ่อ,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,5767816.794
224060115,15,ห้วยสาม,2240601,ต.เกาะขนุน,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,4647054.001
224060201,1,บ้านซ่อง,2240602,ต.บ้านซ่อง,22406,อ.พนมสารคาม,224,จ.ฉะเชิงเทรา,4002427.871
